Title,Product,Material,Materiall: uom,Quantity
recipe_Rye Sourdough Small,Rye Sourdough Small,Flax Seeds Brown,Gr,7
recipe_Rye Sourdough Small,Rye Sourdough Small,Yeast,Gr,14
recipe_Rye Sourdough Small,Rye Sourdough Small,Crusty Rye Flour,Gr,88
recipe_Rye Sourdough Small,Rye Sourdough Small,Sourdough Starter Hard,Gr,53
recipe_Rye Sourdough Small,Rye Sourdough Small,Sourdough Starter Liquid,Gr,53
recipe_Salade Special,Salade Special,LETTUCE,Gr,50
recipe_Salade Special,Salade Special,TOMATO,Gr,50
recipe_Salade Special,Salade Special,CUCUMBER,Gr,50
recipe_Salade Special,Salade Special,RED ONION,Gr,25
recipe_Salade Special,Salade Special,CARROT,Gr,25
recipe_Salade Special,Salade Special,Parmesan,Gr,15
recipe_Salade Special,Salade Special,Capsicum Marinated,Gr,25
recipe_Salade Special,Salade Special,Sunflower Seed,Gr,10
recipe_Salade Special,Salade Special,Pumpkin Seed,Gr,10
recipe_Salade Special,Salade Special,Dressing Sauce,Gr,50
recipe_Small baguette,Small baguette,FLOUR AMOURETTE,Gr,10
recipe_Small baguette,Small baguette,White Flour,Gr,100
recipe_Small baguette,Small baguette,Yeast,Gr,1
recipe_Small Baguette Poolish,Small Baguette Poolish,Poolish Starter,Gr,101
recipe_Small Baguette Poolish,Small Baguette Poolish,Salt,Gr,2
recipe_Small Baguette Poolish,Small Baguette Poolish,Sourdough Starter Liquid,Gr,25
recipe_Small Baguette Poolish,Small Baguette Poolish,White Flour,Gr,43
recipe_Smoky Fish,Smoky Fish,LETTUCE,Gr,20
recipe_Smoky Fish,Smoky Fish,RED ONION,Gr,15
recipe_Smoky Fish,Smoky Fish,"Smoked Mahi""",Gr,50
recipe_Smoky Fish,Smoky Fish,Cream Cheese Sauce,Gr,35
recipe_Sourdough Starter Hard,Sourdough Starter Hard,White Flour,Gr,667
recipe_Sourdough Starter Hard,Sourdough Starter Hard,Yeast,Gr,2
recipe_Sourdough Starter Liquid,Sourdough Starter Liquid,White Flour,Gr,500
recipe_Sponge Cake,Sponge Cake,White Sugar,Gr,167
recipe_Sponge Cake,Sponge Cake,White Flour,Gr,333
recipe_Strawberry Cheesecake,Strawberry Cheesecake,Strawberry Cheesecake Mix,Gr,708
recipe_Strawberry Cheesecake,Strawberry Cheesecake,Strawberry Glazing,Gr,"5,371"
recipe_Strawberry Cheesecake,Strawberry Cheesecake,Almond Biscuit,Gr,55
recipe_Strawberry Cheesecake Mix,Strawberry Cheesecake Mix,Cream Cheese,Gr,357
recipe_Strawberry Cheesecake Mix,Strawberry Cheesecake Mix,STRAWBERRY,Gr,179
recipe_Strawberry Cheesecake Mix,Strawberry Cheesecake Mix,Ice Sugar,Gr,119
recipe_Strawberry Cheesecake Small 16cm,Strawberry Cheesecake Small 16cm,Almond Biscuit,Gr,220
recipe_Strawberry Cheesecake Small 16cm,Strawberry Cheesecake Small 16cm,Strawberry Cheesecake Mix,Gr,283
recipe_Strawberry Cheesecake Small 16cm,Strawberry Cheesecake Small 16cm,Strawberry Glazing,Gr,"21,483"
recipe_Strawberry Cheesecakes Big 24cm,Strawberry Cheesecakes Big 24cm,Almond Biscuit,Gr,495
recipe_Strawberry Cheesecakes Big 24cm,Strawberry Cheesecakes Big 24cm,Strawberry Cheesecake Mix,Gr,637
recipe_Strawberry Cheesecakes Big 24cm,Strawberry Cheesecakes Big 24cm,Strawberry Glazing,Gr,"4,835"
recipe_Strawberry Glazing,Strawberry Glazing,STRAWBERRY,Gr,465
recipe_Strawberry Glazing,Strawberry Glazing,White Sugar,Gr,62
recipe_Strawberry Jam,Strawberry Jam,STRAWBERRY,Gr,667
recipe_Strawberry Jam,Strawberry Jam,White Sugar,Gr,333
