Title,Product,Material,Materiall: uom,Quantity
recipe_Choco Pie 16cm,Choco Pie 16cm,Cake Box 16 Cm,Pcs,1
recipe_Choco Pie 16cm,Choco Pie 16cm,Cake Cardboard 16 Cm,Pcs,1
recipe_Choco Pie 24cm,Choco Pie 24cm,Cake Box 25X25 Cm,Pcs,1
recipe_Choco Pie 24cm,Choco Pie 24cm,Cake Cardboard 24 Cm,Pcs,1
recipe_Chocolat Cloud,Chocolat Cloud,Cup Breakery Cloud,Pcs,1
recipe_Chocolat Pie,Chocolat Pie,Cake Cardboard Round,Pcs,1
recipe_Chocolat Pie Mix,Chocolat Pie Mix,Egg,Pcs,37
recipe_Chocolat Sponge Cake,Chocolat Sponge Cake,Egg,Pcs,10
recipe_Choux Dough,Choux Dough,Egg,Pcs,6
recipe_Croffel,Croffel,Croissant stock,Pcs,1
recipe_Croissant,Croissant,Croissant stock,Pcs,1
recipe_Croissant Almond,Croissant Almond,Croissant stock,Pcs,1
recipe_Croque-Monsieur,Croque-Monsieur,Toast Bread,Pcs,66
recipe_Cruffin,Cruffin,Cup Cruffin,Pcs,1
recipe_Dulce praline Tartelette,Dulce praline Tartelette,Pastry Cardboard Rectangle,Pcs,1
recipe_Egg Benedict,Egg Benedict,Egg,Pcs,2
